,index,song,artist,id,MISSING,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,22256,I Cry Just A Little Bit,Shakin' Stevens,7tJm0Kl0FBobXB011e82sN,matched,0.798,0.747,11,-5.034,1,0.0485,0.139,0,0.0962,0.749,124.286,192867,4
1,22713,6 Underground,Sneaker Pimps,7KvSuH86lIT2aTl9PBCAfd,matched,0.587,0.687,1,-8.635,0,0.0509,0.0281,0.14,0.121,0.402,169.938,228840,4
2,2786,Bring It All To Me,Blaque,1cjBan0t4eBk2Y5j17hdyf,matched,0.695,0.579,0,-5.066,1,0.0325,0.000479,0,0.0556,0.726,88.957,218187,4
3,15998,Me And You And A Dog Named Boo,Lobo,6a0AGYos2HgtQNgMeDqEfC,matched,0.628,0.603,6,-10.286,1,0.0312,0.178,1.73e-05,0.0686,0.951,120.782,177933,4
4,25016,Whatcha See Is Whatcha Get,The Dramatics,5lYpHO6ZO4Shys3GD8rav6,matched,0.641,0.74,6,-8.425,1,0.118,0.249,0,0.281,0.914,152.939,214973,4
5,26298,Good Lovin',The Olympics,0VpHIkmXGSIJ8phPcRfQBU,matched,0.541,0.777,2,-9.259,1,0.0906,0.367,0.00475,0.309,0.703,88.092,150867,4
6,18654,Push The Feeling On,Nightcrawlers,1EWsVHU4FNAdtN4R8FETag,matched,0.793,0.5,6,-13.108,0,0.0319,0.028,1.96e-05,0.186,0.833,123.017,243160,4
7,19388,Love (Makes the World Go 'round),Paul Anka,4M24a4FcmIkuCGjEZ3MZMN,matched,0.631,0.622,4,-8.441,0,0.0605,0.697,0,0.143,0.889,143.772,146867,4
8,2068,Lonely Days,Bee Gees,7uLKyipL5WfndsHMRSGEUS,matched,0.334,0.24,0,-14.5,0,0.0327,0.662,8.35e-05,0.634,0.37,94.254,225667,4
9,16577,Vogue,Madonna,27QvYgBk0CHOVHthWnkuWt,matched,0.737,0.88,6,-6.449,1,0.0433,0.00379,0.00351,0.417,0.329,115.998,316813,4
10,28426,Get It Wet,Twista,03DrwKCR5YhSyQiAQUqzxK,matched,0.678,0.795,5,-9.313,0,0.0822,0.00781,0,0.156,0.55,128.949,242960,1
11,1517,Complicated,Avril Lavigne,5xEM5hIgJ1jjgcEBfpkt2F,matched,0.585,0.776,5,-5.898,1,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,244507,4
12,12206,Slippin' Away,Jean Shepard,6S2yygif19aG4J0tLET53g,matched,0.737,0.483,5,-8.389,1,0.0281,0.811,2.17e-06,0.196,0.802,113.365,149800,4
13,713,Little Bitty,Alan Jackson,2IY559smG7SXYk229NA2Vl,matched,0.571,0.818,4,-6.539,1,0.0415,0.151,0,0.348,0.728,163.045,158627,4
14,8245,Gnat,Eminem,6cS9PmLky2NhLOhpIsUlow,matched,0.835,0.869,10,-4.582,0,0.27,0.248,0,0.462,0.82,140.945,224656,4
15,28599,Confessions Part II,Usher,7wBThXx7BGZHJJ3aN3OPvv,matched,0.845,0.467,1,-7.674,1,0.138,0.0586,0,0.0694,0.702,138.007,211200,4
16,16559,Live To Tell,Madonna,095MMFhB9qxPx2VsmvjnUs,matched,0.652,0.521,2,-6.752,0,0.0256,0.263,0.0011,0.107,0.235,109.943,351920,4
17,14494,For You,Kenny Lattimore,4eI8okfmurpexL41RdjkGA,matched,0.626,0.42,4,-11.796,1,0.0339,0.75,0,0.0648,0.498,137.681,237200,4
18,6957,Love Power,Dionne Warwick & Jeffrey Osborne,01w6Mtzueznf69FnYz2Uqz,matched,0.781,0.607,0,-8.722,0,0.0289,0.259,7.23e-06,0.0515,0.62,116.146,274133,4
19,26324,Down By The Lazy River,The Osmonds,49ZAeWd40u4py51DpjEY8p,matched,0.6,0.909,1,-5.154,0,0.0742,0.433,0,0.337,0.94,141.678,163093,4
20,8759,Free Yourself,Fantasia,7ANroj1yWw0YEGcLf7HO3Q,matched,0.717,0.449,5,-9.688,0,0.0596,0.681,0,0.0902,0.611,108.802,257427,4
21,23362,Body,Summer Walker,7vxLj7MREliG5i5vSnqSVr,matched,0.555,0.507,11,-6.099,0,0.167,0.25,0,0.283,0.339,137.875,193840,4
22,28652,Finish What Ya Started,Van Halen,37A5wFomo4EVz5tGInAynI,matched,0.779,0.799,9,-14.766,1,0.0341,0.55,0.000404,0.0575,0.964,125.148,263133,4
23,22909,Wannabe,Spice Girls,1Je1IMUlBXcx1Fz0WE7oPT,matched,0.768,0.864,11,-6.145,1,0.0324,0.101,0,0.162,0.891,110.008,173027,4
24,13745,Lean Wit Me,Juice WRLD,3oDkdAySo1VQQG0ptV7uwa,matched,0.665,0.651,1,-5.515,1,0.156,0.0414,0,0.0896,0.237,163.935,175755,4
25,1070,I Want You,Animotion,32oO3V7ccsFg5AbYYedyvL,matched,0.628,0.748,2,-13.086,1,0.0357,0.000843,0.00112,0.0485,0.494,132.277,277667,4
26,27963,Mony Mony,Tommy James And The Shondells,23xk9Rf7oIHVUU1JvmXYFn,matched,0.592,0.834,2,-11.565,1,0.0334,0.322,0,0.364,0.809,130.967,174133,4
27,8158,Until It's Time For You To Go,Elvis Presley,3xahstzELWc2PccxBN7zZV,matched,0.282,0.209,2,-16.841,1,0.0323,0.882,0.584,0.143,0.215,90.628,238293,3
28,18737,I Like What You Give,Nolan,2yGCbgGczWs1apieyZy4Zj,matched,0.838,0.678,7,-12.059,1,0.0399,0.0416,0.0129,0.0875,0.946,124.332,191947,4
29,13230,Tears,John Waite,4yJwYm8Y9fKXD0Pjf9lWYh,matched,0.464,0.648,0,-8.342,1,0.0306,0.004,0,0.159,0.581,124.215,238667,4
30,21777,Paradise,Sade,4tReFKumS5bcFahdXDiM1b,matched,0.738,0.792,1,-7.873,1,0.0378,0.309,0.39,0.0679,0.968,99.817,217467,4
31,17406,Bring The Pain,Method Man,3F3R4uyTMkX9jRCEVVmdz6,matched,0.835,0.456,6,-10.195,0,0.266,0.38,0.00359,0.16,0.224,101.889,189760,4
32,25833,Lies,The Knickerbockers,7L7DgjhqnYYuIfgyhKTcxs,matched,0.493,0.83,4,-7.104,0,0.0316,0.449,0,0.253,0.915,145.843,167027,4
33,15536,Sanguine Paradise,Lil Uzi Vert,3XiNC94b4Tq1xwv70sQJGN,matched,0.729,0.603,6,-6.736,0,0.0666,0.0948,0,0.113,0.207,134.972,243976,4
34,11588,It Only Happened Yesterday,Jack Scott,69cikKSonWdugzCyc38K35,matched,0.238,0.187,4,-14.015,1,0.0331,0.944,3.24e-06,0.1,0.149,85.356,166227,3
35,29663,Fairly Local,twenty one pilots,1s9xuJxhYM0LdVqksjegcg,matched,0.715,0.723,6,-5.993,0,0.0569,0.0396,8.57e-05,0.084,0.479,114.985,207160,4
36,28645,Beautiful Girls,Van Halen,7Ly4DzymgujObKg7wWVHZV,matched,0.284,0.869,1,-5.833,1,0.12,0.0462,0,0.306,0.499,205.025,236240,4
37,16266,7 Years,Lukas Graham,5kqIPrATaCc2LqxVWzQGbk,matched,0.765,0.473,10,-5.829,1,0.0514,0.287,0,0.391,0.34,119.992,237300,4
38,17389,That's The Way A Woman Is,Messengers,4xj5bB4aeo1xrDWiEojszy,matched,0.653,0.918,9,-5.131,1,0.0356,0.138,0.00117,0.0722,0.968,78.677,115227,4
39,22560,Frankie,Sister Sledge,6th7K3C0mmxk5AlT4x4oro,matched,0.813,0.759,6,-7.882,1,0.0878,0.719,0.0071,0.0573,0.963,82.941,257000,4
40,11766,Startin' With Me,Jake Owen,5bQ8psGbXl0heZAiwG9jW6,matched,0.487,0.653,11,-5.393,1,0.0522,0.109,5.15e-06,0.112,0.319,159.42,236027,4
41,11224,No Promises,Icehouse,4AX3HUxF377bqmKfqC0s2N,matched,0.66,0.738,5,-11.294,0,0.0287,0.0651,0.0144,0.116,0.704,115.813,222200,4
42,6889,Runaround Sue,Dion,1DndHckdH9m5rp6gYP086b,matched,0.364,0.607,2,-9.791,1,0.125,0.451,0,0.251,0.598,79.987,171600,4
43,18371,Breaking Up Is Hard To Do,Neil Sedaka,2x6pbpjVGjiWCcH89IK8AX,matched,0.743,0.799,8,-5.466,0,0.0375,0.699,0,0.0635,0.965,116.112,139200,4
