,index,song,artist,id,MISSING,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,1,What Now My Love,"""Groove"" Holmes",11Aldbvo6UCcVhBzv4oUdw,MISSING,0.562,0.573,7,-10.972,1,0.0342,0.648,0.314,0.056,0.81,91.845,327560,4
1,24,Music Of My Heart,'N Sync & Gloria Estefan,5smPCwVq1pp9b9mnhKRxQj,MISSING,0.671,0.292,1,-13.687,0,0.0288,0.752,0.00553,0.179,0.187,114.924,261975,4
2,95,El Trago (The Drink),2 In A Room,14gC7IS8BFlzabcoqR1iNW,MISSING,0.814,0.938,6,-5.557,0,0.0847,0.000703,0.415,0.801,0.576,125.008,334304,4
3,97,Walk Tall,2 Of Clubs,6byQuxXOHoos4pB8AnzuM3,MISSING,0.481,0.496,11,-10.215,1,0.0283,0.0123,0,0.174,0.526,139.044,148023,4
4,99,Get Ready For This,2 Unlimited,2P7L26IbmkrqxxtyP1CRRb,MISSING,0.82,0.921,11,-8.019,0,0.05,0.00291,0.83,0.0775,0.628,124.832,327587,4
5,109,Famous,21 Savage,19HA9J80qZfIkAnp2g8N2S,MISSING,0.779,0.597,9,-9.652,0,0.434,0.723,4.47e-05,0.0508,0.646,173.986,234280,4
6,136,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),2Gether,1hVUDzhWm9Uok4iKvzaNLx,MISSING,0.83,0.948,9,-3.973,0,0.0455,0.106,2.29e-06,0.105,0.931,111.993,197627,4
7,150,Thugs Get Lonely Too,2Pac Featuring Nate Dogg,7D7XFT6clDMVDP6q3QM16V,MISSING,0.827,0.883,4,-6.194,0,0.234,0.0181,2.17e-06,0.319,0.739,81.979,288360,4
8,155,This Is Ponderous,2nu,6S4bhrjrlJhS6eQX07VqlO,MISSING,0.852,0.481,9,-17.248,1,0.11,0.375,0.0763,0.16,0.573,114.309,217467,4
9,165,When You're Young,3 Doors Down,6uMPJ3NmW8FfqqNwqjUHrB,MISSING,0.462,0.778,9,-4.365,0,0.0313,0.0226,0,0.108,0.219,77.004,256013,4
10,183,Hit It Again,3OH!3,4ZWiwt6iGdCo31GTZrH39L,MISSING,0.592,0.794,4,-3.052,0,0.061,0.00632,4.6e-05,0.209,0.724,147.057,183874,4
11,191,Pop Goes The Weasel,3rd Bass,4YnQvwqErlxh0Ax8WWqjAI,MISSING,0.657,0.839,2,-5.676,1,0.323,0.0132,0,0.182,0.241,200.199,233880,4
12,197,Have A Little Mercy,4,7sZrgx3rQTRjLHsGT8B9Yu,MISSING,0.628,0.575,0,-8.511,1,0.0311,0.35,0,0.0891,0.269,102.021,282827,4
13,208,Girls Talk Boys,5 Seconds Of Summer,5XWmfpinsT4XbfFsUASSaG,MISSING,0.829,0.775,7,-3.358,1,0.0507,0.104,0,0.0943,0.878,120.048,216099,4
14,221,I Get It In,50 Cent,2GGXna7FXpFGhFfeuCijZ0,MISSING,0.688,0.772,1,-8.165,1,0.223,0.0832,1.2e-05,0.304,0.572,94.947,200107,4
15,226,Outlaw,50 Cent,75Mf2hYXJI5pVV0qDYUBoj,MISSING,0.743,0.611,2,-7.428,1,0.365,0.0838,0,0.219,0.159,74.185,195907,3
16,241,Baby By Me,50 Cent Featuring Ne-Yo,2tQkNsEzGGX2dIhUZ0rTRt,MISSING,0.758,0.824,0,-6.147,0,0.0427,0.00682,0.28,0.106,0.696,124.998,359600,4
17,253,Gooba,6ix9ine,1XdbvPWz4lhyRBMz9cBy8b,MISSING,0.611,0.688,1,-5.688,1,0.341,0.0264,0,0.251,0.393,178.462,132303,4
18,318,Say Something,A Great Big World & Christina Aguilera,2HB1jDQn9hCojKIr6Yfhze,MISSING,0.453,0.146,2,-8.976,1,0.0343,0.867,3.49e-06,0.0945,0.0915,137.905,229400,3
19,382,The Look Of Love (Part One),ABC,5AH9Dyo9PWrPq7N8qVzc1U,MISSING,0.785,0.877,9,-6.155,0,0.0574,0.0204,0.00915,0.19,0.939,120.763,210373,4
20,394,Bang!,AJR,068N8eRaN5sPOYITiDEhFw,MISSING,0.74,0.517,1,-6.233,0,0.0506,0.0183,0,0.0558,0.698,139.917,170858,4
21,395,Burn The House Down,AJR,6DOrfjvoK0hLJnxeHsE0xy,MISSING,0.454,0.66,0,-4.357,1,0.168,0.0364,0,0.181,0.568,184.353,212374,4
22,397,Way Less Sad,AJR,72vk6BuAtMtcANh9OQxPhw,MISSING,0.701,0.547,2,-8.238,1,0.0483,0.00843,0,0.0987,0.4,140.015,206108,4
23,398,Weak,AJR,75Yn0W3KieRvQulVNLBl9G,MISSING,0.672,0.642,5,-4.552,1,0.0461,0.127,0,0.137,0.656,123.984,202194,4
24,399,Around The World (La La La La La),ATC,39OXrPu2xUUNgDv8ukbOge,MISSING,0.682,0.957,9,-7.727,0,0.0288,0.21,0.00016,0.922,0.539,131.969,194440,4
25,408,Are You That Somebody?,Aaliyah,3PqAnW2bB5TQnMoBivyFOb,MISSING,0.85,0.657,9,-7.078,0,0.166,0.14,0.0192,0.0939,0.843,137.971,265667,4
26,411,Come Over,Aaliyah,28RaFrB9gSS48XXumZMobc,MISSING,0.759,0.458,5,-7.894,0,0.0754,0.559,0.000108,0.164,0.641,109.15,235107,4
27,412,I Care 4 U,Aaliyah,571hGNRyAR4klC9WpvOWg1,MISSING,0.473,0.449,0,-7.579,0,0.0474,0.796,0.000244,0.106,0.27,138.859,273840,3
28,414,If Your Girl Only Knew,Aaliyah,1WKz2dJbsK0S56zvpnhFWU,MISSING,0.841,0.741,9,-3.487,0,0.0359,0.137,0.000445,0.11,0.834,88.408,290960,4
29,415,Miss You,Aaliyah,0tr492xughUjNeqSDDD5nK,MISSING,0.678,0.338,10,-9.899,1,0.0319,0.655,0,0.215,0.502,109.888,245227,4
30,416,More Than A Woman,Aaliyah,4x2YdtTppdbL4kHPOjaunq,MISSING,0.655,0.649,1,-5.653,0,0.089,0.0793,0.000393,0.117,0.759,86.968,229867,4
31,417,Rock The Boat,Aaliyah,0qvlhVNm7L5IWabWF5hlEL,MISSING,0.637,0.725,5,-5.073,1,0.0333,0.0702,0.00438,0.203,0.415,92.99,274733,4
32,418,The One I Gave My Heart To,Aaliyah,5otUV0LUycAHXqGVz8bZY0,MISSING,0.702,0.493,7,-7.631,1,0.041,0.399,0,0.112,0.333,125.389,270933,4
33,419,Try Again,Aaliyah,6Wnlq1Pu3I0BajLvxn05Vr,MISSING,0.794,0.662,6,-4.913,0,0.249,0.0789,0,0.0937,0.683,93.053,284640,4
34,426,Am I The Only One,Aaron Lewis,2O8fDNr7arCI2vvOtnfyt0,MISSING,0.617,0.626,1,-4.883,1,0.0268,0.798,4.69e-06,0.12,0.345,112.072,269724,4
35,433,She Took You For A Ride,Aaron Neville,33vOmVmYIgn4QGUc0ooNio,MISSING,0.421,0.347,5,-10.805,1,0.0341,0.59,4.21e-06,0.19,0.869,181.566,199360,4
36,441,Four Leaf Clover,Abra Moore,20AePDsEmKOiaTWYbKbeH5,MISSING,0.672,0.776,2,-6.351,1,0.0323,0.12,4.1e-05,0.102,0.973,127.992,213840,4
37,445,Blues (Stay Away From Me),Ace Cannon,0HM6keREJ3h6Hg0hhAkETW,MISSING,0.786,0.26,10,-13.51,1,0.073,0.817,0.467,0.0989,0.53,69.787,135600,4
