song,artist,id
What Now My Love,"""Groove"" Holmes",11Aldbvo6UCcVhBzv4oUdw
Amish Paradise,"""Weird Al"" Yankovic",MISSING
Canadian Idiot,"""Weird Al"" Yankovic",77lZ5O8fojbuYiEskfqJpP
Eat It,"""Weird Al"" Yankovic",1jq2FwGP2nctKdPO0mHqMv
Fat,"""Weird Al"" Yankovic",5r96TaQquRrlo3Ym3ZlSL2
I Lost On Jeopardy,"""Weird Al"" Yankovic",1gloYGAZI6eHp6MEPjLuL3
King Of Suede,"""Weird Al"" Yankovic",7uwJC9ngTvHYBtk1DH0aBr
Like A Surgeon,"""Weird Al"" Yankovic",4is3oF4FlWmedh3TK6Ke7z
Ricky,"""Weird Al"" Yankovic",022XE9RZVU3a9nULENXfnm
Smells Like Nirvana,"""Weird Al"" Yankovic",0uTSpsec5kXkNQQjzt6dIB
White & Nerdy,"""Weird Al"" Yankovic",4D876G8FLaVEJk4pHKXFbG
Word Crimes,"""Weird Al"" Yankovic",76QlOaKjVbxqduVcwcQZWx
Music Of My Heart,'N Sync & Gloria Estefan,3rREGSHjY1RmsTj81wL5X4
Because The Night,"10,000 Maniacs",60R2v9lheAu3lwZwAFxMZK
Candy Everybody Wants,"10,000 Maniacs",MISSING
Like The Weather,"10,000 Maniacs",4Xsg382qJtrh05oHwWizUA
More Than This,"10,000 Maniacs",0Ot7mSjYyJ99a0TBKPzwMI
These Are Days,"10,000 Maniacs",4WAUiXVn7FVU6dqAbAaxde
Trouble Me,"10,000 Maniacs",2ITMnelPUkq6DJ7X78NKKs
What's The Matter Here?,"10,000 Maniacs",1eBI6SUkhOmoeTVrxqyQUJ
Come See Me,112,30lgryvhHIA0sAe5SS122O
Dance With Me,112,5pORAIx1TLwsuc2riiHaM8
Peaches & Cream,112,7LMfj5eHfLTOJuCCJeek33
Simon Says,1910 Fruitgum Co.,2oiHy1SN7VSNzu5Wsuc4Fz
Watch Out,2 Chainz,MISSING
El Trago (The Drink),2 In A Room,14gC7IS8BFlzabcoqR1iNW
Walk Tall,2 Of Clubs,6byQuxXOHoos4pB8AnzuM3
Get Ready For This,2 Unlimited,2P7L26IbmkrqxxtyP1CRRb
1.5,21 Savage,2rjbWlEDTx4tfajRaMs8Fw
A Lot,21 Savage,3WXJOVqIyZKSkdLa82PF0L
ASMR,21 Savage,4FQaMaxFgIMX1Wg5wYKMRi
All My Friends,21 Savage,0lf7CfXZnvX7LnqL2q8FNB
Bank Account,21 Savage,5eqK0tbzUPo2SoeZsov04s
Break Da Law,21 Savage,1SHei85qV8JtytFwJq3MkF
Famous,21 Savage,19HA9J80qZfIkAnp2g8N2S
Gun Smoke,21 Savage,5VzvK7YiwWbRePA2JOzhYq
