,song,artist,id,MISSING
1015,......And Roses And Roses,Andy Williams,3tvqPPpXyIgKrm4PR9HCf0,matched
1024,Days Of Wine And Roses,Andy Williams,3tvqPPpXyIgKrm4PR9HCf0,matched
1231,Come To Me,Aretha Franklin,3iX0BMs9dX9CsgrHhiB173,matched
1245,Jump,Aretha Franklin,1DWTFcfjHR8I98KSRk2ntW,matched
1246,Jump To It,Aretha Franklin,1DWTFcfjHR8I98KSRk2ntW,matched
1273,Until You Come Back To Me (That's What I'm Gonna Do),Aretha Franklin,3iX0BMs9dX9CsgrHhiB173,matched
1397,Baby,Ashanti,6pWzCKTrKrwbUPzY8RLCoP,matched
1402,Rock Wit U (Awww Baby),Ashanti,6pWzCKTrKrwbUPzY8RLCoP,matched
1674,Life Goes On,BTS,5FVbvttjEvQ8r2BgUcJgNg,MISSING
1676,ON,BTS,5FVbvttjEvQ8r2BgUcJgNg,MISSING
1779,"Gone, Gone, Gone",Bad Company,4zzBhwmZCd1laUNgErXZIT,matched
1780,Good Lovin' Gone Bad,Bad Company,4zzBhwmZCd1laUNgErXZIT,matched
1911,Sweet Inspiration/Where You Lead,Barbra Streisand,2T3R19V9qMiiuRWPor8Axf,matched
1917,Where You Lead,Barbra Streisand,2T3R19V9qMiiuRWPor8Axf,matched
2049,Alive,Bee Gees,5ubvP9oKmxLUVq506fgLhk,matched
2081,Stayin' Alive,Bee Gees,5ubvP9oKmxLUVq506fgLhk,matched
2489,At This Moment,Billy & The Beaters,136nAEqaPwbQguey2Unze7,matched
2689,At This Moment,Billy Vera & The Beaters,136nAEqaPwbQguey2Unze7,matched
3371,I Can't Make You Love Me,Bonnie Raitt,69uJi5QsBtqlYkGURTBli8,matched
3377,You,Bonnie Raitt,69uJi5QsBtqlYkGURTBli8,matched
3390,Green Onions,Booker T. & The MG's,6CLZtW9Yu49dfWWpQd22pU,matched
3396,Mo-Onions,Booker T. & The MG's,6CLZtW9Yu49dfWWpQd22pU,matched
5614,One,Creed,42T2QQv3xgBlpQxaSP7lnK,matched
5615,One Last Breath,Creed,42T2QQv3xgBlpQxaSP7lnK,matched
6045,It Won't Be Like This For Long,Darius Rucker,4gzeYkzuzxuzAUTsGcdjqA,matched
6047,This,Darius Rucker,4gzeYkzuzxuzAUTsGcdjqA,matched
6317,Blue's Theme,Davie Allan And The Arrows,12hAeEyERydkkb1Wow1xdA,matched
6319,Theme From The Wild Angels,Davie Allan And The Arrows,12hAeEyERydkkb1Wow1xdA,matched
6325,I Play And Sing,Dawn,266HrBTiCIPm5RxFiE1El9,matched
6911,(There's) Always Something There To Remind Me,Dionne Warwick,0qlyxOj68o45dH4ILAekvD,matched
6945,The Windows Of The World,Dionne Warwick,0qlyxOj68o45dH4ILAekvD,matched
7710,Got To Get You Into My Life,"Earth, Wind & Fire",4vGQNeWAh2WKPYsqhp5wSg,matched
7722,Shining Star,"Earth, Wind & Fire",0RgcOUQg4qYAEt9RIdf3oB,matched
7725,Star,"Earth, Wind & Fire",0RgcOUQg4qYAEt9RIdf3oB,matched
7731,You,"Earth, Wind & Fire",4vGQNeWAh2WKPYsqhp5wSg,matched
8159,Viva Las Vegas,Elvis Presley,5Q7ayTarb9Tpmkik5cVMug,matched
8167,A Little Less Conversation,Elvis Presley With The Jordanaires,4rr0gWiMrF4sOIefs3IEvZ,matched
8209,Viva Las Vegas,Elvis Presley With The Jordanaires,5Q7ayTarb9Tpmkik5cVMug,matched
8221,A Little Less Conversation,Elvis Presley vs JXL,4rr0gWiMrF4sOIefs3IEvZ,matched
8999,Rhiannon (Will You Ever Win),Fleetwood Mac,0s6E8LxUNeRjm9rXEh9e9w,matched
9000,Rhiannon (will You Ever Win),Fleetwood Mac,0s6E8LxUNeRjm9rXEh9e9w,matched
9248,"River, Stay 'Way From My Door",Frank Sinatra,440T8Mimcjwh6Rf5Wa8cVA,matched
9252,Stay With Me,Frank Sinatra,440T8Mimcjwh6Rf5Wa8cVA,matched
9831,20/20,George Benson,0r3r8ioooe9JUCx6iooAtz,matched
9841,The Greatest Love Of All,George Benson,0r3r8ioooe9JUCx6iooAtz,matched
9860,Got My Mind Set On You,George Harrison,3OeUlriM0EZHdWleJtjoVr,matched
