Title,Authors,Year,Publication,Citation,Reference
Heuristic Approach for Generic Audio Data Segmentation and Annotation,Tong Zhang; C.-C. Jay Kuo;,1999,,"(Zhang et. al., 1999)","Tong Zhang; C.-C. Jay Kuo; ""Heuristic Approach for Generic Audio Data Segmentation and Annotation"", 1999."
Audio segmentation by feature-space clustering using linear discriminant analysis and dynamic programming,"M. Goodwin, J. Laroche",2003,2003 IEEE Workshop on Applications of Signal Processing to Audio and Acoustics (IEEE Cat. No.03TH8684),"(Goodwin et. al., 2003)","M. Goodwin; J. Laroche; ""Audio segmentation by feature-space clustering using linear discriminant analysis and dynamic programming"", 2003 IEEE Workshop on Applications of Signal Processing to Audio and Acoustics (IEEE Cat. No.03TH8684), 2003."
Algorithmic clustering of music,"Rudi L. Cilibrasi, P. Vitányi, R. D. Wolf",2004,"Proceedings of the Fourth International Conference onWeb Delivering of Music, 2004. EDELMUSIC 2004.","(Cilibrasi et. al., 2004)","Rudi L. Cilibrasi; P. Vitányi; R. D. Wolf; ""Algorithmic clustering of music"", Proceedings of the Fourth International Conference onWeb Delivering of Music, 2004. EDELMUSIC 2004., 2004."
A Music Recommender Based On Audio Features,Qing Li; Byeong Man Kim; Dong Hai Guan; Duk whan Oh;,2004,SIGIR,"(Li et. al., 2004)","Qing Li; Byeong Man Kim; Dong Hai Guan; Duk whan Oh; ""A Music Recommender Based On Audio Features"", SIGIR, 2004."
Content-based music audio recommendation,"P. Cano, M. Koppenberger, N. Wack",2005,MULTIMEDIA '05,"(Cano et. al., 2005)","P. Cano; M. Koppenberger; N. Wack; ""Content-based music audio recommendation"", MULTIMEDIA '05, 2005."
Music Genre Classification Using MIDI and Audio Features,Zehra Cataltepe; Yusuf Yaslan; Abdullah Sonmez;,2007,EURASIP JOURNAL ON ADVANCES IN SIGNAL PROCESSING,"(Cataltepe et. al., 2007a)","Zehra Cataltepe; Yusuf Yaslan; Abdullah Sonmez; ""Music Genre Classification Using MIDI and Audio Features"", EURASIP JOURNAL ON ADVANCES IN SIGNAL PROCESSING, 2007a."
Music Recommendation Based on Adaptive Feature and User Grouping,Z. Cataltepe; B. Altinel;,2007,2007 22ND INTERNATIONAL SYMPOSIUM ON COMPUTER AND INFORMATION SCIENCES,"(Cataltepe et. al., 2007b)","Z. Cataltepe; B. Altinel; ""Music Recommendation Based on Adaptive Feature and User Grouping"", 2007 22ND INTERNATIONAL SYMPOSIUM ON COMPUTER AND INFORMATION SCIENCES, 2007b."
Predicting Music Popularity on Streaming Platforms,Carlos V. S. Araujo; Marco A. P. Cristo; Rafael Giusti;,2007,ANAIS DO SIMPÓSIO BRASILEIRO DE COMPUTAÇÃO MUSICAL (SBCM 2019),"(Holt, 2007)","Carlos V. S. Araujo; Marco A. P. Cristo; Rafael Giusti; ""Predicting Music Popularity on Streaming Platforms"", ANAIS DO SIMPÓSIO BRASILEIRO DE COMPUTAÇÃO MUSICAL (SBCM 2019), 2019."
A Probabilistic Music Recommender Considering User Opinions and Audio Features,Qing Li; Sung-Hyon Myaeng; Byeong Man Kim;,2007,INF. PROCESS. MANAG.,"(Li et. al., 2007)","Qing Li; Sung-Hyon Myaeng; Byeong Man Kim; ""A Probabilistic Music Recommender Considering User Opinions and Audio Features"", INF. PROCESS. MANAG., 2007."
Novel Techniques for Audio Music Classification and Search,Kris West;,2008,ACM SIGMULTIMEDIA RECORDS,"(West, 2008)","Kris West; ""Novel Techniques for Audio Music Classification and Search"", ACM SIGMULTIMEDIA RECORDS, 2008."
