index,song,artist,id
78,Watch Out,2 Chainz,22DKsoYFV5npPXmnPpXL7i
106,Bank Account,21 Savage,6LJ3BbEuDIExoU9mAB4Sni
247,Woof Woof,69 Boyz,1qaGr5S6pOra3oGrwcJLjY
282,I Do (Cherish You),98 Degrees,5FypLOLmX3qpjiZq8eUTTV
285,The Hardest Thing,98 Degrees,5fa6K4cBjQKSqz1FitiPX9
369,S.O.S.,ABBA,4dTeOAnnY4bLh4MeyNz6rK
381,That Was Then But This Is Now,ABC,15g0mXDwfH1nUiKuhZBDXh
413,I Don't Wanna,Aaliyah,4h7wUvVV8Ff8UL7JqAByiL
486,As If I Didn't Know,Adam Wade,1Kdqwkq2AI5S0txCal6bWn
488,Gloria's Theme,Adam Wade,1wX7yflolAYDRHnIkiW15b
495,The Writing On The Wall,Adam Wade,0hOpJgOKNIk26Og4e6WvF0
508,Hello,Adele,78e4lVA2PU0N3nBtgrLl8Z
510,Rolling In The Deep,Adele,2PWhPwrYiG3VM3VRd8Nlkx
513,Set Fire To The Rain,Adele,5bRSrOafTcsqIjMzs7sak0
588,Angel,Akon,6J5U2x0xdje9RLGSZpEDrK
615,Cookin',Al Casey Combo,6cDEYCFPsFLRqDjzRnjn2U
623,Guilty,Al Green,7LKL2wR36x2TfW2y5nZIFB
654,Here In My Heart,Al Martino,0mRAY4VhmgEsBvLEFxB6Vm
676,Think I'll Go Somewhere And Cry Myself To Sleep,Al Martino,5bv8JsR9b0FVNu1dI8aflY
678,Volare,Al Martino,4M6JR2xz4PJggfI7HDPyd2
691,Show And Tell,Al Wilson,2vhW1OmaZDYi63Da9d8R5o
692,The Snake,Al Wilson,0uGElV71YUd95hj4MElk0m
731,Undercover Angel,Alan O'Day,5LIch7R7lghgss7Atmvnjk
744,99 Miles From L.a.,Albert Hammond,2kQ2qfJhhAFohiaTdaRMnj
753,Breaking Up Somebody's Home,Albert King,7txSZmb5aynEyVvlWNuxRk
754,Cold Feet,Albert King,48bFH7et27EybvLEN5h0en
758,A La Primera Persona,Alejandro Sanz,3ijypgrX5od1wFDOihARrO
761,Here,Alessia Cara,664gdARxaClFsoF5SXKOws
763,Scars To Your Beautiful,Alessia Cara,42ydLwx4i5V49RXHOozJZq
862,Speed,Alpha Team,6LvzttDtScY9etzkB6LQNX
872,Twine Time,Alvin Cash & The Crawlers,1Oz66Cs9PhuILvrI4Pw6xy
876,Chemicals React,Aly & AJ,7vOjTY220BqIttYDbwshED
892,Sexual (Li Da Di),Amber,1HwqDoiKaBUJH6Fe1VDUF9
903,Get Up,Amel Larrieux,5YzK2kmIM7cdpRbv0iGaEs
930,Knock On Wood,Amii Stewart,2qxrGDWh1qXWXJ1DbbxAEu
1009,Just Young,Andy Rose,4IToGzGT3zcJWQN2c5J9cV
1046,The Hawaiian Wedding Song (Ke Kali Nei Au),Andy Williams,2ULa19MTmtGxdnKxk8zkbI
1090,One Of The Lucky Ones,Anita Bryant,7zOj5mmXTAQ7XHwqEloPrx
1094,The World Of Lonely People,Anita Bryant,5HxEqNBzlpxOoJMZ9y0YB5
1095,Till There Was You,Anita Bryant,5mbwpar6qYhWv1MyIayqAO
1096,Wonderland By Night,Anita Bryant,2YtMmdSvkgmPzocfj53Hlw
1138,The Call,Anne Murray,7ktVEpWWC7MKlVXCcxHKx3
1140,What About Me,Anne Murray,7IVXa7MFoIvJU4BIccNdVS
1143,Jo-Jo The Dog-Faced Boy,Annette,4kQD2IxOyaMOOhQQxIKWbG
1144,Lonely Guitar,Annette,3J2WdrtJtcjY539g5r3UfP
1160,Iesha,Another Bad Creation,4PWaeUVCHIVbXlpXEuIcvR
1169,Do You Mind?,Anthony Newley,1Dp1eYjIvZbUcVILKlWm08
1171,Pop Goes The Weasel,Anthony Newley,6XTUuuIqip9uuHQs5ugkOx
1172,What Kind Of Fool Am I,Anthony Newley,1FDLvw8CZeAPLF1oGl5nck
1196,You Could Have Been A Lady,April Wine,00HHXyQsZ21t3E3VBGTAUF
1203,A World Without Music,Archie Bell & The Drells,6cEfNnApZLeaYFUjHgpl4P
1213,Wrap It Up,Archie Bell & The Drells,6ir6mS8vlECYYzU6MSQ3Ra
