genre_id,counts
dance pop,591
pop,585
rock,579
electro house,572
latin,515
classical performance,508
hip hop,498
edm,492
tropical,490
pop rap,490
indie rock,488
modern rock,477
rap,466
pop rock,465
electropop,462
indie folk,460
country rock,452
latin rock,441
modern alternative rock,431
pop edm,423
german hip hop,416
post-teen pop,414
indie poptimism,411
pop dance,410
indie pop,409
calming instrumental,408
funk,403
background piano,401
underground hip hop,399
freak folk,399
urban contemporary,394
escape room,393
sleep,391
background music,391
stomp and holler,388
tropical house,384
folk rock,383
adult standards,380
indian classical,376
french hip hop,376
trap,375
k-pop,374
soft rock,367
progressive house,365
new wave pop,365
alternative rock,365
rock en espanol,364
alternative r&b,363
fake,362
europop,362
filmi,361
electronica,361
folk,358
chill r&b,358
german pop,357
regional mexican,356
indie r&b,356
corrido,356
r&b,355
lo-fi beats,355
roots rock,353
art rock,351
pop punk,350
otacore,350
indie electropop,348
house,346
eurovision,346
hard rock,344
mellow gold,343
album rock,342
indie cafe pop,341
country pop,338
gangster rap,332
progressive trance,331
latin pop,331
alternative metal,331
garage psych,330
art pop,329
desi pop,328
alt z,328
southern hip hop,326
latin alternative,325
praise,322
melodic hardcore,322
dutch hip hop,321
classic rock,321
instrumental lullaby,319
vapor soul,318
metalcore,318
j-poprock,316
anthem worship,316
afropop,316
deep new americana,315
metal,313
funk carioca,311
alternative hip hop,310
turkish trap pop,309
soul,309
blues rock,308
screamo,307
german rock,307
world worship,306
nuevo regional mexicano,306
new americana,303
pop r&b,301
francoton,298
fallen angel,297
contemporary country,297
underground rap,293
swedish pop,293
country,293
trap latino,292
melodic metalcore,292
latin hip hop,292
indie punk,292
quiet storm,291
uk hip hop,290
post-screamo,289
indonesian pop,289
dutch pop,289
russelater,288
rap francais,288
brill building pop,288
rumba,287
alternative country,287
gaming edm,286
children's music,285
asmr,285
ranchera,284
j-pop,284
indie soul,283
south african pop,282
vapor trap,281
neo classical metal,280
symphonic power metal,279
future bass,279
tech house,278
french pop,277
hip house,276
musica de fondo,275
indie garage rock,274
indie anthem-folk,274
deep house,274
vapor twitch,273
opm,273
deep groove house,273
classic uk pop,273
azontobeats,272
modern blues rock,271
punk,269
mandopop,269
j-rock,269
deep underground hip hop,269
social media pop,268
neo soul,268
electric blues,268
contemporary jazz,267
ccm,267
hardcore hip hop,266
classical soprano,266
nu metal,265
nu jazz,265
minimal techno,265
indiecoustica,263
russian pop,262
reggaeton flow,262
nwocr,262
mexican indie,262
german trap,262
pop urbaine,261
lounge,261
lilith,261
rap rock,260
new comedy,260
reggaeton,259
jazz,259
new wave,258
k-indie,257
turkish pop,256
jazz saxophone,256
neo-classical,255
float house,255
anthem emo,255
texas country,254
nova mpb,254
meme rap,254
chillhop,254
dance-punk,253
classic soul,253
norwegian pop,252
german underground rap,252
sky room,251
scorecore,251
minimal tech house,251
disco house,251
worship,250
mpb,250
hip pop,250
french indie pop,250
vocal house,249
deep tropical house,249
melodic metal,247
brazilian rock,247
spanish pop,246
mexican rock,246
emo rap,246
v-pop,245
rock-and-roll,245
pagode,245
danish pop,245
korean pop,244
alternative dance,244
ska,243
sad rap,243
russian hip hop,243
disco,243
christian pop,243
west coast trap,242
vocal jazz,242
microhouse,242
christian alternative rock,242
motown,241
karaoke,241
k-rap,241
jazz fusion,241
christian music,241
cali rap,241
symphonic rock,240
meditation,240
compositional ambient,240
cantautor,240
russian dance pop,238
japanese alternative rock,238
soundtrack,237
punjabi pop,237
dark trap,236
canadian hip hop,236
uplifting trance,235
